make,model,units_sold,avg_selling_price,avg_market_value,avg_profit,avg_margin_pct
Saturn,VUE Hybrid,13,6376.92,6546.15,-169.23,-4.26
Cadillac,CTS,1934,10766.98,10936.13,-169.15,-13.98
Ford,Freestar,262,1748.47,1916.98,-168.52,-58.61
ford,expedition,33,906.06,1073.48,-167.42,-33.44
Toyota,Corolla,7354,9217.03,9384.41,-167.38,-6.1
Buick,Regal,598,11217.69,11384.24,-166.55,-29.4
Mercury,Cougar,38,788.16,954.61,-166.45,-56.32
Volkswagen,Eos,190,11624.74,11790.79,-166.05,-6.79
Ford,Taurus,4649,10995.78,11161.05,-165.27,-15.81
Nissan,Murano,2904,13095.55,13260.51,-164.96,-5.54
Subaru,Baja,42,6709.52,6874.4,-164.88,-12.73
Honda,Ridgeline,199,17320.35,17484.92,-164.57,-3.93
Dodge,Intrepid,115,618.7,783.26,-164.57,-66.81
GMC,envoy,20,763.75,927.5,-163.75,-66.95
Mitsubishi,Eclipse,394,4043.53,4207.11,-163.58,-21.57
Honda,Fit,441,8999.6,9163.04,-163.44,-6.76
toyota,yaris,4,4100,4262.5,-162.5,-4.36
Land Rover,LR2,137,14005.47,14167.7,-162.23,-4.51
Toyota,RAV4,3209,14496.3,14658.39,-162.09,-2.45
Saturn,L-Series,191,1157.33,1319.37,-162.04,-65.18
GMC,Jimmy,42,941.07,1102.38,-161.31,-53.73
Jeep,Patriot,1776,11154.04,11315.29,-161.25,-5.24
Lincoln,MKS,878,21686.48,21846.3,-159.82,-1.4
Chevrolet,HHR,1092,5057.9,5217.61,-159.71,-11.91
Kia,Forte,2750,10263.87,10423.56,-159.69,-4.75
FIAT,500L,305,12627.54,12787.05,-159.51,-3.43
Mazda,Mazdaspeed3,40,14835,14994.37,-159.37,-5.16
Nissan,Maxima,6611,13043.43,13202.75,-159.32,-7.02
Saturn,Astra,54,3890.74,4049.07,-158.33,-12.46
Volkswagen,GTI,416,10442.79,10600.72,-157.93,-5.58
Audi,S4,197,22959.64,23117.13,-157.49,-4.77
Audi,TT,128,8887.89,9045.31,-157.42,-15.02
Saturn,L300,32,1835.94,1992.97,-157.03,-65.55
chevrolet,venture,15,635,791.67,-156.67,-36.55
Ford,E-Series Van,1823,19109.87,19266.14,-156.27,-1142.97
