seller,sale_year,units_sold,total_revenue,avg_profit
afg/roquemore and roquemore  inc.,2015,6,38850.0,-483.33
afg/roquemore and roquemore inc,2014,5,51400.0,-230.0
afg/roquemore and roquemore inc,2015,25,199500.0,-1333.0
afg/state national companies,2015,3,27100.0,441.67
afs acceptance llc,2014,1,500.0,-5675.0
afs acceptance llc,2015,121,708100.0,-1491.94
after 5 motors inc,2014,1,1600.0,-450.0
after 5 motors inc,2015,6,25200.0,-770.83
after lease auto sales,2015,1,8300.0,-4200.0
ag auto group llc,2015,1,13900.0,-5900.0
ag leaseplan,2014,4,50800.0,-1850.0
ag leaseplan,2015,28,294900.0,-1554.46
agles motorsports llc,2015,1,7800.0,300.0
agnike motors llc,2015,1,5400.0,650.0
agoura motorcar co inc,2014,2,3350.0,87.5
agoura motorcar co inc,2015,3,19300.0,650.0
agriculture credit union,2015,1,2100.0,300.0
aguilar auto sales,2015,1,7300.0,-1825.0
ahfc/honda lease trust/hvt  inc acuras,2014,18,371900.0,-729.17
ahfc/honda lease trust/hvt  inc acuras,2015,137,2729350.0,-759.31
ahfc/honda lease trust/hvt  inc.,2014,513,7520250.0,-105.85
ahfc/honda lease trust/hvt  inc.,2015,2024,30095200.0,-232.15
ahfc/honda lease trust/hvt  inc. eot,2014,668,9740075.0,98.2
ahfc/honda lease trust/hvt  inc. eot,2015,5401,75937800.0,-203.11
ahfc/honda lease trust/hvt inc,2015,3,44700.0,-33.33
ahfc/honda lease trust/hvt inc.,2014,1,1900.0,-4500.0
ahfc/honda lease/trust/hvt  inc. eot acuras,2014,127,2483400.0,-186.61
ahfc/honda lease/trust/hvt  inc. eot acuras,2015,975,18695500.0,-345.18
air academy fcu,2015,2,16000.0,-1537.5
air force fcu,2014,1,11000.0,500.0
air force fcu,2015,9,58600.0,-1619.44
airpark motorcars llc,2014,2,14500.0,25.0
airpark motorcars llc,2015,6,68000.0,1066.67
airport auto center,2014,1,4600.0,150.0
airport car rental inc,2014,3,8400.0,258.33
airport car rental inc,2015,4,11250.0,-637.5
airport car sales,2015,1,6500.0,0.0
airport infiniti,2015,1,22900.0,-1400.0
airport kia,2014,1,3000.0,-1475.0
airport mini of cleveland,2015,1,27250.0,-1150.0
airport van rental,2015,27,244900.0,-126.85
aj auto sales llc,2015,1,10700.0,-2000.0
aj motors and repair inc,2014,1,2100.0,-750.0
ajh wholesale auto llc,2014,1,14800.0,3850.0
ajmp/jamieson's car & truck rental,2015,3,36000.0,150.0
ajs automotive,2015,1,2700.0,800.0
ak international inc,2014,6,65500.0,83.33
ak international inc,2015,42,644700.0,831.55
akal auto sales inc,2014,1,4800.0,-275.0
akins auto sales,2015,1,2000.0,-175.0
akins ford dodge jeep chrysler,2015,19,291100.0,685.53
akins ford dodge jeep chrysler ram,2015,45,725000.0,527.78
akron auto,2015,1,10250.0,1450.0
akt investments inc,2015,1,19800.0,4350.0
akv auto,2015,1,21300.0,800.0
al bilton ford inc,2015,1,8500.0,-1250.0
al financial corp,2015,2,11400.0,-700.0
al financial corporation,2015,1,4600.0,525.0
al hendrickson toyota,2014,13,68600.0,323.08
al hendrickson toyota,2015,12,53300.0,-570.83
al king tire and auto service,2014,1,11400.0,-150.0
al packer ford lincoln mercury,2014,2,14800.0,-850.0
al packer ford west,2014,3,40600.0,-1250.0
al packer ford west,2015,4,50400.0,-668.75
al packer's luxury imports,2015,1,23200.0,300.0
al piemonte arlington heights ford inc,2014,15,49400.0,-408.33
al piemonte ford sales inc,2015,4,88500.0,-700.0
al q used cars llc,2015,1,3000.0,-2225.0
al sat enterprises inc,2014,1,2700.0,375.0
al sat enterprises inc,2015,1,5200.0,700.0
ala sales inc,2014,1,5800.0,-25.0
ala sales inc,2015,11,67400.0,552.27
alabama wholesale motors llc,2015,4,34100.0,818.75
alameda auto sales,2015,1,4800.0,2000.0
alamo city autoplex,2015,1,16800.0,900.0
alamo leasing co,2015,23,257050.0,-886.96
alamo leasing co inc,2014,2,14700.0,-1662.5
alamo leasing co inc,2015,6,78100.0,-104.17
alan jay chevrolet cadillac inc,2014,1,21200.0,500.0
alan jay chevrolet cadillac inc,2015,2,52400.0,225.0
alan jay ford lincoln,2014,3,73200.0,50.0
alan jay ford of wauchula inc,2014,1,2100.0,575.0
alan jay kia,2015,2,27100.0,-2125.0
alan jay nissan,2014,1,4200.0,-1825.0
alans autos,2014,72,1030300.0,211.11
alans autos,2015,645,10186400.0,413.84
alas leasing,2015,14,300300.0,425.0
alaska sales and service inc,2015,2,33100.0,-50.0
alba motor co of san diego,2015,1,5600.0,775.0
albany ford subaru,2015,2,36750.0,1725.0
alberic ford inc,2015,3,21800.0,-6150.0
albert & jack inc,2014,3,26200.0,-25.0
albert & jack inc,2015,18,99450.0,-702.78
alberta recreation vehicles ltd,2015,1,3600.0,-175.0
alberta truck & auto liquidators,2015,1,200.0,-150.0
alberta wholesale motors,2015,1,1200.0,-2200.0
albion motors ford inc,2015,1,8000.0,-300.0
albo auto sales,2015,2,4100.0,-225.0
albright motor company,2015,2,47400.0,125.0
albuquerque police department,2015,1,2900.0,-8450.0
ald motors inc,2015,1,5400.0,625.0
alden credit union,2015,1,1600.0,-3650.0
alecs auto llc,2014,1,2000.0,-1475.0
aleks foreign & domestic auto sales llc,2015,1,14100.0,-2150.0
alen's auto sales inc,2015,1,37000.0,-800.0
